,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,0.6824739511,1.6149104472,2.8622736539,3.0052345739,3.7799975546,3.8099955313
2,0.5777722075,1.3297919455,2.6550328557,2.3304630412,3.693031109,3.2787734308
4,0.527489665,1.0521815088,2.6297289284,2.0712947988,3.6715694703,3.0357946148
8,0.5079720774,0.7867149619,2.620048808,1.8377345465,3.6653855076,2.8454457882
16,0.6338060868,0.4393871778,2.6127967708,2.0165050878,3.6919610999,2.8843883763
32,0.5181617803,0.284329515,2.6122442667,1.8326731368,3.6702839415,2.6935098159
64,0.5161562702,0.0818207306,2.6258204535,1.5920990082,3.6482739459,2.5545044695
128,0.5191220696,-0.0785841633,2.6272297552,1.3461332166,3.6483023117,2.4133163828
256,0.4953075126,-0.0543160898,2.6122177834,1.2734757606,3.645491931,2.3629800345
512,0.5198775432,-0.3878535693,2.6101964849,1.1564806205,3.662249695,2.6841810915
1024,0.5252575328,-0.4116863604,2.6083052434,1.0493612534,3.6612018888,2.6493277186
2048,0.5154712127,-0.6385418736,2.609538356,0.846244253,3.6604425767,2.5830513521
4096,Err:502,Err:502,Err:502,Err:502,3.6698841994,2.5992791979
