,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,3.336344004,38.97698033,397.6321092333,692.5228363333,3024.197935,5750.0861733333
2,2.743574068,20.1754459,248.1627233,148.4833852583,2457.025358,1189.94125387
4,2.77616009,10.57234253,229.7545027222,86.0241239073,2392.8706774445,692.9122805689
8,2.363422471,6.037284283,227.2142895167,73.086093525,2366.6942136667,422.612858084
16,2.363502789,3.696954731,225.7891128,74.93556997,2378.4214716667,569.1340478333
32,2.251771669,2.527475871,222.7964650333,47.65886841,2333.7751296667,363.8897114
64,2.30864638,1.738822663,229.8966782333,31.09898518,2327.529194,255.8289522667
128,2.19202886,1.5641648853,225.2858731333,20.4499365167,2325.3019286667,183.5711257033
256,2.192611892,1.2364425079,223.2637418333,18.7721749403,2313.6189733333,141.05870781
512,2.230768947,1.105129266,221.2497608,11.663378665,2328.296205,145.4736828767
1024,2.18262413,0.7852432157,219.8867275,9.8740015753,2331.9988836667,120.8693127733
2048,2.18262413,0.7852432157,219.8867275,9.8740015753,2334.2427746667,100.8734112153
4096,2.18262413,0.7852432157,219.8867275,9.8740015753,2322.432963,92.3002377553
