,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,21.1846076,48.06863352,2710.758048,1213.52254,19899.9999275,7292.612015
2,17.85109811,24.95629134,1801.6975445833,365.7423039703,16366.212392353,1685.1833453165
4,16.58925208,13.19095537,1562.1654486667,163.2551029646,15877.62162,1067.5211835243
8,15.35226964,7.11114695,1543.9187474445,97.7435154152,15766.4838617647,642.6455390247
16,14.93859796,3.863558398,1538.5000746667,142.9147000667,15132.783798,903.99629
32,14.50729357,2.483542981,1521.2816176667,89.2877956267,14855.402418,596.48495836
64,14.4818621,1.557361426,1545.7694863333,65.8881507433,15065.3357416667,387.2858352167
128,14.35192833,1.0890398123,1561.5627356667,47.2467919,14675.785174,281.8951457
256,14.51748952,0.6296177912,1529.9426403333,32.8134325867,14583.36041,226.8397129
512,14.32354363,0.6792718372,1518.6263296667,20.4929222547,15798.7133533334,166.3049420967
1024,14.44631677,0.5908807264,1512.871883,18.893726817,15562.3578466667,123.1189423467
2048,14.67195999,0.2672984853,1506.9044566667,12.8145028123,15769.0497633333,78.2774866533
4096,14.32076858,0.6434482439,1508.001151,12.8046222433,15744.5027133334,106.6695497247
