0,75.67,62.09,49.73,48.03,47.9
1,83.47,69.64,49.03,33.62,20.8737
2,53.55,40.3,27.25,18.42,11.4557
4,38.05,25.12,16.54,11.03,6.63
8,30.32,17.14,11.01,7.01,4.31
16,26.18,13.46,8.36,5.23,3.06
32,24.83,11.48,6.98,4.23,2.44
64,23.41,10.57,6.22,3.73,2.15
128,22.84,10.04,5.87,3.48,1.98
256,22.55,9.72,5.65,3.34,1.87
512,22.45,9.62,5.5,3.25,1.82
