,1,2,4,8,16,32
1,75.67,83.47,69.64,49.03,33.62,20.8737
2,62.09,53.55,40.3,27.25,18.42,11.4557
4,53.63,38.05,25.12,16.54,11.03,6.63
8,49.73,30.32,17.14,11.01,7.01,4.31
16,48.03,26.18,13.46,8.36,5.23,3.06
32,47.9,24.83,11.48,6.98,4.23,2.44
64,46.37,23.41,10.57,6.22,3.73,2.15
128,45.75,22.84,10.04,5.87,3.48,1.98
256,45.81,22.55,9.72,5.65,3.34,1.87
512,45.81,22.45,9.62,5.5,3.25,1.82
,,,,,,
,,,,,,
1,1,0.906553252665628,1.0865881677197,1,1.45835812016657,2.34888879307454
2,1,1.15947712418301,1.54069478908189,2.27853211009174,3.37079261672096,5.42000925303561
4,1,1.40946123521682,2.13495222929936,3.24244256348247,4.86219401631913,8.08898944193062
8,1,1.64017150395778,2.90140023337223,4.51680290644868,7.0941512125535,11.538283062645
16,1,1.83460656990069,3.56835066864785,5.74521531100479,9.18355640535373,15.6960784313725
32,1,1.92911800241643,4.17247386759582,6.86246418338109,11.3238770685579,19.6311475409836
64,1,1.9807774455361,4.38694418164617,7.45498392282958,12.4316353887399,21.5674418604651
128,1,2.00306479859895,4.55677290836653,7.793867120954,13.1465517241379,23.1060606060606
256,1,2.03148558758315,4.71296296296296,8.10796460176991,13.7155688622755,24.4973262032086
512,1,2.04053452115813,4.76195426195426,8.32909090909091,14.0953846153846,25.1703296703297
