1.626566530693860464e-03,1.133833459308139328e-02
1.486896336732651232e-03,5.743821467706469557e-03
1.329367174565085179e-03,2.904718116376725674e-03
1.186805204958999620e-03,1.624951665666865292e-03
1.151109972005595139e-03,9.530377308538274389e-04
1.183727478504297253e-03,5.703355610877828370e-04
1.136836654669067014e-03,3.991254167166571778e-04
1.115475860827831863e-03,3.159670935812833531e-04
1.132041105778838243e-03,2.365968021395721272e-04
1.110589476104776631e-03,2.440741335332927619e-04
1.150152525494904090e-03,1.589332690261948127e-04
1.111874675064981020e-03,2.178145196560681343e-04
1.106832311537693297e-03,1.306221311417716743e-04
