,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,8.13445922,56.7030113,1179.7358543333,1357.6042146667,10462.987545,7312.66118
2,7.43596858,28.72485116,863.9925342222,279.1357157677,8636.8037222222,1602.41082261
4,6.64816524,14.5264953,808.8563318889,157.6393807907,8335.06489,973.1354607372
8,5.93521283,8.12638328,801.6584348889,99.323600961,8229.3657038889,647.6531708083
16,5.75670097,4.766141692,780.6548856667,125.8871868667,8429.9471483334,935.6979233333
32,5.91982112,2.852248141,780.194379,77.4072753633,8424.85418,602.4528106167
64,5.68532011,1.996026209,809.16999,48.1351074967,8137.996695,421.1207343333
128,5.57849478,1.580151435,816.821945,54.7511953367,8110.079025,367.7033380333
256,5.66133757,1.1832206075,817.8984663333,37.3061237067,8090.2233283334,249.112981925
512,5.55405797,1.2206147418,804.5592716667,29.446452273,8136.79969,174.29035738
1024,5.75191278,0.7948252784,793.88987,25.2981925753,8097.8666933333,156.9517037117
2048,5.56048525,1.0892904128,798.5826113333,17.771751613,8070.9606933334,157.5881867248
4096,5.53526839,0.6532412778,767.111418,6.4284152843,8072.4091283333,125.72349434
