,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,0.1742046896,1.2687931976,2.3096877142,2.6723956717,3.1839417564,3.7541651392
2,0.0482406297,0.9833333959,2.1047154702,1.9848981937,3.098824189,3.0464677508
4,0.0242946548,0.6947585954,2.0910845467,1.7485610462,3.0891961605,2.7891041565
8,0.033049206,0.4231053056,2.068554268,1.6760565743,3.0829146893,2.5599191633
16,-0.0349904408,0.1952124657,2.0634995089,1.6813019681,3.0877204393,2.7101401973
32,-0.0466657909,0.0045203078,2.0589866031,1.4921612174,3.0843923953,2.5112427058
64,-0.0492307259,-0.0228563432,2.0680471394,1.2896508215,3.0819659469,2.3433049672
128,-0.0380521548,-0.3046677371,2.0654103782,1.1310768578,3.0794030973,2.2288613373
256,-0.0301805914,-0.4461877309,2.052153721,1.0569541102,3.0810398272,2.0950768636
512,-0.0559424516,-0.5865897019,2.0618905512,0.9288759432,3.0755754827,1.9622355935
1024,Err:502,Err:502,2.0666231373,0.8426707948,3.0774315996,1.8625558094
2048,Err:502,Err:502,Err:502,Err:502,3.075479797,1.7888336525
4096,Err:502,Err:502,Err:502,Err:502,3.0740503275,1.7850952069
