,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,0.1742046896,1.2687931976,2.3096877142,2.6723956717,3.1839417564,3.7541651392
2,0.0482406297,0.9833333959,2.1047154702,1.9848981937,3.098824189,3.0464677508
4,0.0242946548,0.6947585954,2.0910845467,1.7485610462,3.0891961605,2.7891041565
8,0.033049206,0.4231053056,2.068554268,1.6760565743,3.0829146893,2.5599191633
